LAI,Lwin,PPT,Pa,Rg,Ta,U,VPD,ea,ustar
0,321,0,99.6,47.000,3.300,2.727,0.000,0.774,0.2655
0,321,0,99.6,51.000,3.300,2.481,0.000,0.774,0.2594
0,322,0,99.6,36.000,3.300,2.235,0.000,0.774,0.2369
0,322,0,99.6,23.000,3.400,1.967,0.000,0.779,0.0436
0,322,0,99.6,15.000,3.400,1.699,0.000,0.779,0.0911
0,322,0,99.5,13.000,3.400,2.906,0.000,0.779,0.1709
0,322,0,99.5,8.000,3.400,4.113,0.000,0.779,0.1876
0,323,1.4,99.5,6.000,3.300,4.515,0.000,0.774,NaN
0,323,0.2,99.5,3.000,3.300,4.917,0.000,0.774,NaN
0,323,0,99.4,0.000,3.400,4.403,0.000,0.779,0.3303
0,323,0,99.4,0.000,3.400,3.889,0.000,0.779,0.3226
0,324,0.2,99.4,0.000,3.500,4.202,0.000,0.785,NaN
0,324,0.4,99.4,0.000,3.600,4.515,0.000,0.791,NaN
0,325,0.4,99.4,0.000,3.600,4.269,0.000,0.791,NaN
0,325,0.6,99.4,0.000,3.600,4.023,0.000,0.791,NaN
0,326,0.6,99.3,0.000,3.600,4.537,0.000,0.791,NaN
0,324,0.8,99.3,0.000,3.700,5.052,0.000,0.796,NaN
0,324,1.8,99.3,0.000,3.700,5.320,0.000,0.796,NaN
0,323,1.8,99.3,0.000,3.700,5.588,0.000,0.796,NaN
0,323,2.2,99.4,0.000,3.700,6.303,0.000,0.796,NaN
0,324,1.6,99.3,0.000,3.700,7.019,0.000,0.796,NaN
0,323,1.4,99.2,0.000,3.600,7.577,0.000,0.791,NaN
0,323,0.8,99.1,0.000,3.500,8.136,0.000,0.785,NaN
0,305,0.8,98.1,0.000,3.500,8.002,0.000,0.785,NaN
0,322,1.2,99.1,0.000,3.400,7.868,0.000,0.779,NaN
0,321,1.2,99.1,0.000,3.200,7.622,0.000,0.769,NaN
0,320,0.6,99.1,0.000,3.000,7.376,0.000,0.758,NaN
0,320,0,99.1,0.000,2.900,8.047,0.000,0.752,0.7904
0,320,0.2,99,0.000,2.800,8.717,0.000,0.747,NaN
0,319,0,99,0.000,2.700,8.606,0.000,0.742,1.1167
0,318,0.2,99,0.000,2.600,8.494,0.000,0.737,NaN
0,316,0,98.9,0.000,2.500,8.807,0.000,0.731,1.1261
0,315,0.4,99,0.000,2.300,9.120,0.000,0.721,NaN
0,314,0.4,99,1.000,2.200,9.723,0.001,0.714,NaN
0,314,0.4,99,1.000,2.000,10.327,0.000,0.706,NaN
