LAI,Lwin,PPT,Pa,Rg,Ta,U,VPD,ea,ustar
0,323,0,98.7,0,3.200000048,8.404352,0.041517124,0.727006712,0.539536838
0,323,0,98.7,0,3.099999905,8.314944,0.039697054,0.723407196,0.485180379
0,322,0,98.7,0,3,8.225536,0.056092644,0.701625856,0.483425279
0,321,0,98.7,0,2.799999952,7.331456,0.057543367,0.689504361,0.453541619
0,320,0,98.7,0,2.599999905,6.437376,0.052309829,0.684200247,0.492036584
0,320,0,98.7,0,2.5,6.549136,0.048280883,0.683009844,0.355808938
0,320,0,98.7,0,2.5,6.660896,0.050475484,0.680815243,0.427901858
0,319,0,98.8,0,2.400000095,6.59384,0.05374856,0.672355563,0.445757782
0,319,0,98.8,0,2.299999952,6.526784,0.049039412,0.671910661,0.439772669
0,318,0,98.8,0,2,6.571488,0.047999096,0.657682493,0.410487515
0,317,0,98.8,0,1.799999952,6.616192,0.045228928,0.650433291,0.435545635
0,308,0,99.2,0,1.700000048,6.571488,0.037306321,0.653393588,0.284604989
0,316,0,98.8,0,1.600000024,6.526784,0.032238084,0.653530857,0.300499584
0,316,0,98.8,0,1.600000024,6.392672,0.035667664,0.650101277,0.408166633
0,315,0,98.8,0,1.600000024,6.25856,0.032924032,0.652844909,0.399749922
0,315,0,98.8,0,1.5,6.750304,0.022473277,0.658395875,0.398120585
0,315,0,98.8,0,1.399999976,7.242048,0.028397408,0.647602965,0.450111097
0,315,0,98.9,0,1.399999976,6.81736,0.048005137,0.627995236,0.358608422
0,313,0,98.8,0,1.100000024,6.392672,0.040362373,0.621216031,0.382883794
0,313,0,98.8,0,1,6.03504,0.047955349,0.608876626,0.386652299
0,313,0,98.8,0,1.100000024,5.677408,0.04697915,0.614599254,0.359861084
0,313,0,98.8,0,1.100000024,5.565648,0.041024044,0.62055436,0.321403174
0,314,0,98.8,0,1.100000024,5.453888,0.044332433,0.617245971,0.311929479
0,314,0,98.9,0,1.100000024,5.677408,0.043009093,0.618569311,0.259422435
0,314,0,98.9,0,1.100000024,5.900928,0.040362373,0.621216031,0.359861084
0,314,0,98.9,0,1.100000024,5.744464,0.041024044,0.62055436,0.315277655
0,314,0,98.9,6,1.200000048,5.588,0.041320789,0.625034381,0.378945906
0,314,0,98.9,22,1.200000048,6.03504,0.03932142,0.62703375,0.31701735
0,315,0,99,29,1.299999952,6.48208,0.040948156,0.630214277,0.315753068
0,316,0,99,65,1.5,7.063232,0.053118581,0.627750572,0.414246304
0,318,0,99,120,1.799999952,7.644384,0.061928833,0.633733387,0.471699057
0,320,0,99,118,2.099999905,7.622032,0.073937398,0.636801582,0.452437841
0,320,0,99,104,2.200000048,7.59968,0.083060151,0.632768274,0.478016736
0,320,0,99,70,2.200000048,7.979664,0.083060151,0.632768274,0.445533388
0,320,0,99,61,2.200000048,8.359648,0.07876395,0.637064475,0.415090352
0,320,0,99,100,2.299999952,8.203184,0.085097802,0.635852271,0.470531614
0,319,0,99,94,2.099999905,8.04672,0.083890504,0.626848477,0.539351462
0,318,0,98.9,85,1.899999976,7.756144,0.07218588,0.628470177,0.443959458
0,317,0,98.9,69,1.799999952,7.465568,0.078628778,0.617033441,0.467332858
0,317,0,98.9,88,1.799999952,7.15264,0.081412059,0.61425016,0.398873414
0,317,0,98.9,51,1.700000048,6.839712,0.077376038,0.61332387,0.40385641
0,316,0,99,31,1.600000024,7.018528,0.082310021,0.60345892,0.425910789
0,316,0,99,20,1.5,7.197344,0.093979019,0.586890134,0.444297198
0,314,0,99.1,6,1.299999952,6.504432,0.077197361,0.593965072,0.438976081
0,314,0,99.1,2,1.100000024,5.81152,0.083371466,0.578206938,0.416653333
0,313,0,99.1,0,1.100000024,6.25856,0.091973293,0.569605111,0.392937654
0,312,0,99.1,0,0.800000012,6.7056,0.08547017,0.561959295,0.386781592
0,311,0,99.1,0,0.600000024,6.772656,0.104026628,0.534119687,0.435545635
0,310,0,99.1,0,0.400000006,6.839712,0.099384677,0.529596538,0.321403174
0,310,0,99.2,0,0.400000006,6.437376,0.110706949,0.518274267,0.381575681
0,309,0,99.1,0,0.200000003,6.03504,0.096092308,0.523840565,0.321247568
0,309,0,99.2,0,0.200000003,6.236208,0.089272869,0.530660004,0.343656806
0,309,0,99.2,0,0.200000003,6.437376,0.089892811,0.530040062,0.322180074
0,309,0,99.2,0,0.100000001,6.169152,0.091088206,0.524363877,0.377888873
0,308,0,99.2,0,0,5.900928,0.091649985,0.519350015,0.316069613
0,308,0,99.2,0,0,5.655056,0.094704986,0.516295014,0.330454233
0,308,0,99.2,0,0.100000001,5.409184,0.107705653,0.50774643,0.352987252
0,309,0,99.2,0,0.100000001,5.431536,0.117553008,0.497899075,0.261151297
0,308,0,99.2,0,0,5.453888,0.084318006,0.526681994,0.204450483
0,302,0,98.6,0,-0.100000001,5.69976,0.074001253,0.532575214,0.494671608
0,308,0,99.2,0,-0.100000001,5.945632,0.094017988,0.512558478,0.337934905
0,307,0,99.3,0,-0.200000003,6.03504,0.104174387,0.498006937,0.304630924
